CÓDIGO ATUAL,NOME ATUAL,NOME NOVO,PROPOSTA DO DÓRIA
2722-10,JD. VERONIA – METRÔ GUILHERMINA/ESPERANÇA,JD. VERONIA – METRÔ GUILHERMINA/ESPERANÇA,MANTIDA
2722-31,METRÔ GUILHERMINA/ESPERANÇA – JD. VERÔNIA,METRÔ GUILHERMINA/ESPERANÇA – JD. VERÔNIA,MANTIDA
2723-10,UNIÃO DE VL. NOVA – METRÔ ITAQUERA,UNIÃO DE VL. NOVA – METRÔ ITAQUERA,MANTIDA
2724-10,METRÔ ARTUR ALVIM – CONJ. ARAUCÁRIA,METRÔ ARTUR ALVIM – CONJ. ARAUCÁRIA,MANTIDA
2725-10,METRÔ ARTUR ALVIM – JD. SÃO CARLOS,JD. SÃO CARLOS – METRÔ ARTUR ALVIM,MANTIDA
2726-10,LIMOEIRO – METRÔ PENHA,,EXTINTA
2727-10,METRÔ ARTUR ALVIM – CONJ. A. E. CARVALHO,METRÔ ARTUR ALVIM – CONJ. A. E. CARVALHO,MANTIDA
2728-10,JD. DO CASTELO – METRÔ PENHA,JD. DO CASTELO – METRÔ PENHA,MANTIDA
272N-10,PQ. NOVO MUNDO – PQ. D. PEDRO II,PQ. NOVO MUNDO – LUZ,CORTADA
2730-10,VL. JACUI – METRÔ ARTUR ALVIM,TERM. A. E. CARVALHO – VILA JACUI CIRCULAR 1,CORTADA
